Time(ms);SensorValue;Percentage
9935;215;21
9942;215;21
9955;215;21
9963;215;21
9975;216;21
9983;215;21
9996;216;21
10004;215;21
10017;216;21
10025;216;21
10037;216;21
10045;216;21
10057;216;21
10066;216;21
10078;216;21
10086;216;21
10098;216;21
10106;216;21
10119;216;21
10127;216;21
10139;216;21
10148;216;21
10159;216;21
10168;216;21
10180;216;21
10189;216;21
10201;216;21
10213;216;21
10221;216;21
10234;216;21
10242;216;21
10254;216;21
10262;216;21
10274;216;21
10282;216;21
10295;216;21
10303;216;21
10315;216;21
10323;216;21
10336;216;21
10345;216;21
10356;216;21
10365;216;21
10377;216;21
10385;216;21
10397;216;21
10405;216;21
10418;216;21
10426;215;21
10439;216;21
10447;215;21
10459;216;21
10467;215;21
10480;215;21
10488;215;21
10499;215;21
10508;216;21
10520;215;21
10529;215;21
10540;216;21
10549;216;21
10561;217;21
10570;217;21
10582;218;21
10590;220;21
10602;223;21
10610;229;22
10623;234;22
10631;240;23
10642;244;23
10651;248;24
10663;252;24
10672;256;25
10684;263;25
10692;267;26
10705;274;26
10712;280;27
10725;288;28
10733;298;29
10746;306;29
10753;319;31
10766;330;32
10774;339;33
10787;349;34
10795;358;34
10807;367;35
10815;374;36
10828;381;37
10836;390;38
10847;403;39
10856;421;41
10868;443;43
10877;462;45
10889;483;47
10900;499;48
10909;516;50
10922;531;51
10929;549;53
10942;570;55
10950;588;57
10962;605;59
12727;124;12
12740;124;12
12748;124;12
12760;124;12
12769;124;12
12781;124;12
12790;124;12
12801;124;12
12809;124;12
12822;124;12
12830;124;12
12843;124;12
12851;124;12
12863;125;12
12871;124;12
12883;124;12
12891;125;12
12904;125;12
12912;124;12
12925;124;12
12933;124;12
12945;124;12
12953;125;12
12965;124;12
12974;124;12
12986;124;12
12995;124;12
13007;124;12
13015;124;12
13027;124;12
13035;124;12
13047;124;12
13055;125;12
13068;124;12
13076;124;12
13089;124;12
13096;124;12
13109;125;12
13117;125;12
13129;125;12
13137;125;12
13149;126;12
13158;127;12
13170;129;12
13178;133;13
13191;140;13
13199;157;15
13212;175;17
13220;190;18
13232;200;19
13240;210;20
13252;216;21
13261;227;22
13272;236;23
13281;247;24
13292;258;25
13301;272;26
13313;289;28
13321;307;30
13334;332;32
13346;352;34
13354;370;36
13367;385;37
13375;402;39
13388;421;41
13395;441;43
13408;460;44
13416;477;46
13428;492;48
13436;508;49
13449;522;51
13457;538;52
13469;555;54
13476;572;55
13490;588;57
13498;601;58
13510;615;60
13518;632;61
13530;650;63
13539;675;65
13551;701;68
13560;723;70
13571;739;72
13580;754;73
13592;768;75
13601;782;76
13613;794;77
13621;807;78
13633;820;80
13641;836;81
13653;854;83
13661;874;85
13674;894;87
13682;912;89
13694;925;90
13702;942;92
13715;955;93
13723;968;94
13735;979;95
13743;986;96
13756;995;97
13769;1004;98
13777;1011;98
13789;1023;100
13797;1023;100
13809;1023;100
13817;1023;100
13830;1023;100
13838;1023;100
13850;1023;100
13858;1023;100
13870;1023;100
13879;1023;100
13891;1023;100
13900;1023;100
13912;1023;100
13920;1023;100
13932;1023;100
13940;1023;100
13953;1023;100
13961;1023;100
13973;1023;100
13982;1023;100
13994;1023;100
14005;1023;100
14014;1023;100
14026;1023;100
14035;1023;100
14047;1023;100
14055;1023;100
14067;1023;100
14076;1023;100
14087;1023;100
14096;1023;100
14108;1023;100
14117;1023;100
14128;1023;100
14136;1023;100
15955;833;81
15968;833;81
15976;833;81
15988;833;81
15997;833;81
16009;833;81
16017;833;81
16029;833;81
16038;833;81
16050;834;81
16058;833;81
16070;833;81
16079;833;81
16090;833;81
16099;833;81
16110;833;81
16119;834;81
16132;833;81
16140;833;81
16152;833;81
16160;833;81
16173;834;81
16180;833;81
16193;833;81
16201;833;81
16213;833;81
16221;833;81
16233;834;81
16242;833;81
16255;834;81
16262;833;81
16275;833;81
16283;834;81
16295;833;81
16303;833;81
16316;833;81
16324;833;81
16337;834;81
16344;833;81
16357;833;81
16365;833;81
16378;833;81
16386;834;81
16397;833;81
16406;833;81
16419;833;81
16427;833;81
16439;833;81
16447;833;81
16459;833;81
16467;833;81
16480;834;81
16488;833;81
16500;833;81
16512;833;81
16521;833;81
16533;833;81
16541;832;81
16553;831;81
16561;829;81
16574;826;80
16582;821;80
16594;819;80
16602;817;79
16615;815;79
16623;813;79
16635;811;79
16644;807;78
16656;797;77
16664;786;76
16676;773;75
16685;762;74
16696;753;73
16705;744;72
16717;738;72
16725;733;71
16738;726;70
16746;714;69
16758;701;68
16766;686;67
16779;675;65
16786;666;65
16799;661;64
16808;658;64
16820;657;64
16828;656;64
16840;656;64
16849;654;63
16860;653;63
16869;651;63
16881;649;63
16889;647;63
16902;645;63
16910;645;63
16922;644;62
16930;644;62
16942;643;62
16950;643;62
16963;642;62
16971;642;62
16984;640;62
16991;639;62
17003;638;62
17013;637;62
17024;637;62
17032;637;62
17045;636;62
17053;636;62
17066;636;62
17073;634;61
17086;631;61
17094;628;61
17106;626;61
17114;625;61
17127;624;60
17135;622;60
17147;620;60
17155;617;60
17167;615;60
17175;612;59
17188;611;59
17197;610;59
17209;609;59
17221;608;59
17230;608;59
17241;607;59
17250;607;59
17262;607;59
17271;606;59
17283;606;59
17291;606;59
17303;606;59
17311;606;59
17324;606;59
17332;606;59
17343;606;59
17353;606;59
17364;606;59
17373;606;59
17385;606;59
17392;606;59
17405;606;59
17414;606;59
17426;606;59
17434;606;59
17447;606;59
17455;607;59
17467;606;59
17475;606;59
17487;606;59
17496;606;59
17507;606;59
17516;606;59
17528;606;59
17537;607;59
17549;606;59
17557;606;59
17569;606;59
17577;606;59
17590;606;59
